,city,country,continent,total_score,cost_of_life,remote_workers,internet,fun,nightlife,safety,lack_of_crime,walkability,racism,foreigners_friendly,freedom_of_speech,female_friendly,LGBTQ_friendly,english_speaking,latitude,longitude,near_beach,photo
36,Playa Del Carmen,Mexico,Latin America,4.16,1644,1466.0,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,20.6308643,-87.0779503,Yes,https://nomadlist.com/assets/img/places/playa-del-carmen-mexico.jpg?1642528505
37,Zagreb,Croatia,Europe,3.98,1944,746.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,45.8131847,15.9771774,No,https://nomadlist.com/assets/img/places/zagreb-croatia.jpg?1653091301
38,Bucharest,Romania,Europe,4.02,1543,794.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,44.4361414,26.1027202,No,https://nomadlist.com/assets/img/places/bucharest-romania.jpg?1642528507
39,Yerevan,Armenia,Europe,4.03,1607,484.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,40.1776245,44.5126174,No,https://nomadlist.com/assets/img/places/yerevan-armenia.jpg?1648252874
40,Antalya,Turkey,Europe,4.01,970,644.0,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,36.9009641,30.6954846,Yes,https://nomadlist.com/assets/img/places/antalya-turkey.jpg?1642723309
41,Melbourne,Australia,Oceania,4.22,3263,871.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,-37.8142176,144.9631608,Yes,https://nomadlist.com/assets/img/places/melbourne-australia.jpg?1650499274
42,Honolulu,United States,Oceania,4.03,4647,452.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,21.2890997,-157.717299,Yes,https://nomadlist.com/assets/img/places/honolulu-hawaii-united-states.jpg?1642528506
43,Auckland,New Zealand,Oceania,3.94,2830,572.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,-36.852095,174.7631803,Yes,https://nomadlist.com/assets/img/places/auckland-new-zealand.jpg?1655165243
44,Cluj,Romania,Europe,4.01,1721,352.0,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,46.769379,23.5899542,No,https://nomadlist.com/assets/img/places/cluj-romania.jpg?1642636879
45,Tenerife,Spain,Europe,4.18,2004,878.0,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,28.2935785,-16.62144712114412,Yes,https://nomadlist.com/assets/img/places/tenerife-canary-islands-spain.jpg?1657152110
46,Sydney,Australia,Oceania,3.99,3872,891.0,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Good,Good,Good,-33.8698439,151.2082848,Yes,https://nomadlist.com/assets/img/places/sydney-australia.jpg?1653868870
47,Florianopolis,Brazil,Latin America,3.97,1186,593.0,Slow,Good,Good,Good,Bad,Good,Good,Good,Good,Bad,Good,Bad,-27.5973002,-48.5496098,Yes,https://nomadlist.com/assets/img/places/florianopolis-brazil.jpg?1642636859
